id,category,customer_query,support_response,created_at
1,Cuenta,"¿Cómo cambio mi domicilio fiscal en la cuenta?","Para actualizar tu domicilio fiscal, ingresá a la Banca Online -> Perfil -> Datos Personales y seleccioná 'Editar dirección'. Si necesitás, podés adjuntar una constancia de domicilio.",2025-11-15
2,Tarjeta,"Mi tarjeta fue bloqueada, ¿qué hago?","Si tu tarjeta está bloqueada por seguridad, comunicáte por la app en el chat o llamá al 0800-XXX-XXXX para proceder con la verificación y reactivar o reemplazar la tarjeta.",2025-10-30
3,Pagos,"Hice una transferencia y no llegó al receptor, ¿cómo reclamo?","Lamentamos el inconveniente. Por favor envianos el comprobante y datos del receptor por la sección 'Contactanos' en la app, indicá fecha, monto y CBU/CVU para investigar.",2025-11-20
4,Seguridad,"Recibí una notificación de un intento de acceso, no fui yo","Bloqueamos accesos sospechosos y te pedimos cambiar la contraseña y activar verificación en dos pasos. También podés solicitar que verifiquemos la actividad reciente.",2025-11-21
5,Claves,"Olvidé mi clave para la banca online, cómo la recupero?","En la pantalla de login seleccioná 'Olvidé mi clave' y seguí los pasos. Si no podés, acercate a una sucursal con DNI o solicitá ayuda por teléfono.",2025-09-18
6,Comisiones,"¿Por qué me cobraron una comisión por mantenimiento?","La comisión de mantenimiento se aplica según el tipo de cuenta y saldo promedio. En tu caso corresponde al plan Standard. Podés revisar planes y cambiar a una cuenta sin comisiones si cumplís condiciones.",2025-08-02
7,Extranjero,"¿Cuál es el tipo de cambio que usan para compras en dólares?","Aplicamos el tipo de cambio oficial más una comisión por conversión según la fecha de la operación. La cotización exacta aparece en el detalle de la transacción en la app.",2025-07-12
8,"Débito automático","Se me pasó el débito automático y me generó un rechazo, ¿qué debo hacer?","Si el débito fue rechazado por falta de fondos, podés reprogramarlo desde 'Pagos' -> 'Debitos automaticos' o comunicarte con la empresa prestadora para acordar el reintento.",2025-11-01
9,Saldo,"Necesito un extracto de mis últimos 6 meses","En la app ingresá a 'Extractos y comprobantes' y podés descargar el extracto en PDF seleccionando el rango de fechas. Si necesitás un extracto oficial, solicitá turno en la sucursal.",2025-06-10
10,Fraude,"Vi movimientos que no reconozco, ¿cómo reclamo fraude?","Reportá inmediatamente los movimientos desconocidos mediante la opción 'Reclamar operación' en la app o llamando al 0800. Se iniciará una investigación y te guiaremos en los pasos.",2025-11-22
11,Préstamos,"Quisiera info sobre tasas para un préstamo personal a 36 meses","Las tasas varían según perfil y monto. En la sección 'Préstamos' podés simular cuotas y ver la tasa aplicada a tu oferta. Para una cotización personalizada, programá una llamada con un asesor.",2025-10-05
12,Hipoteca,"¿Cuál es el proceso para solicitar una hipoteca?","Para solicitar una hipoteca necesitás documentación: DNI, comprobantes de ingresos, recibo de sueldo y tasación. Comenzá la solicitud online y un asesor te contactará para completar el trámite.",2025-05-20
13,Tarjeta,"¿Cómo aumento el límite de mi tarjeta de crédito?","Podés solicitar aumento de límite desde 'Tarjetas' -> 'Solicitar aumento'. Evaluamos historial y capacidad de pago. A veces requerimos documentación adicional.",2025-11-03
14,Promociones,"¿Qué descuentos hay para compras en supermercado con mi tarjeta?","Las promociones varían por campaña. Recomendamos ver 'Promociones' en la app donde se listan descuentos vigentes y fechas de validez.",2025-10-25
15,Contacto,"Necesito cambiar mi número de teléfono asociado a la cuenta","Podés cambiar tu número desde 'Perfil' en la app. Para validar el cambio, te enviaremos un SMS y puede ser necesario validar identidad en sucursal si hay restricciones.",2025-11-12
16,Comprobantes,"No recibí el comprobante de una operación, ¿cómo lo vuelvo a obtener?","En 'Operaciones' seleccioná la transacción y elegí 'Descargar comprobante'. Si no aparece, contactanos con la fecha y monto para reemitirlo.",2025-11-08
17,Integraciones,"¿Puedo vincular mi cuenta con aplicaciones externas (p. ej. billeteras)?","Sí, soportamos integraciones con ciertas billeteras y apps mediante token seguro. Revisá 'Integraciones' en la web o contactá soporte para la lista actualizada.",2025-09-28
18,Límites,"¿Cuál es el límite diario de transferencias por homebanking?","El límite diario depende del perfil de seguridad. En 'Seguridad' -> 'Límites' podés ver y solicitar cambios previa validación.",2025-11-02
19,Reclamaciones,"Hace 10 días abrí un reclamo y no me contestaron, ¿qué plazo tienen?","Nuestros plazos varían. Normalmente respondemos en 48-72h hábiles. Revisá el estatus en 'Mis reclamos' o pasanos el número de reclamo para acelerar la gestión.",2025-10-18
20,"Cambio de moneda","¿Puedo comprar dólares desde la app? ¿Hay límites?","Sí, podés comprar moneda extranjera desde 'Cambio' en la app. Existen límites por día y por cliente según normativa. La app mostrará el tope disponible.",2025-11-06
21,"FAQ - Cuentas","¿Cómo funciona la cuenta sueldo y qué beneficios tiene?","La cuenta sueldo es un producto diseñado para el pago de haberes. Tiene exención de ciertas comisiones, acceso a transferencias inmediatas, una tarjeta de débito asociada y beneficios en promociones. El empleador debe registrar el CBU para efectuar depósitos. Si cambiás de empleo, podés mantener la cuenta o cerrar y reabrir otra. Para acceder a condiciones preferenciales es necesario cumplir con los requisitos del plan vigente. Más detalles en la sección 'Productos' de la web.",2025-06-01
